,support,itemsets
415,0.05041830817582223,['重要']
24,0.03802399185516356,['不断']
187,0.036651763976804926,['已经']
46,0.03616484440706476,['主要']
400,0.03421716612810411,['进一步']
291,0.03377451197379487,['没有']
1,0.029613562923288036,['一定']
339,0.028329865875791244,['积极']
267,0.025629675534504893,['有效']
77,0.02536408304191935,['全面']
214,0.024523040148731797,['必须']
159,0.023372139347527777,['安全']
418,0.022885219777787614,['长期']
256,0.021778584392014518,['更加']
70,0.021512991899428974,['健康']
343,0.021247399406843434,['稳定']
39,0.020671949006241423,['严重']
285,0.020450621929086806,['比较']
412,0.01960957903589925,['重大']
71,0.019521048205037403,['充分']
317,0.019299721127882787,['甚至']
3,0.019166924881590015,['一旦']
307,0.01854720906555708,['特别']
324,0.01797175866495507,['直接']
331,0.017883227834093223,['真正']
143,0.01761763534150768,['基本']
427,0.017086450356336595,['非常']
17,0.016289672878579964,['不同']
185,0.016156876632287195,['巨大']
128,0.016156876632287195,['合理']
247,0.01611261121685627,['明显']
262,0.015581426231685184,['最终']
178,0.014474790845912088,['尤其']
237,0.01425346376875747,['整个']
215,0.014076402107033774,['快速']
170,0.013855075029879156,['容易']
151,0.013810809614448232,['大幅']
78,0.013633747952724536,['公共']
425,0.013279624629277146,['难以']
208,0.012925501305829755,['往往']
167,0.012571377982382365,['实际上']
206,0.012482847151520517,['当然']
82,0.012438581736089593,['共同']
166,0.011774600504625737,['实际']
335,0.011774600504625737,['短期']
327,0.011509008012040193,['相对']
212,0.011376211765747421,['必然']
277,0.011331946350316497,['根本']
160,0.011199150104023727,['完全']
398,0.011199150104023727,['还是']
391,0.011154884688592803,['越来越']
228,0.010889292196007259,['成功']
79,0.010845026780576335,['公平']
53,0.010667965118852641,['仍然']
239,0.010358107210836173,['新兴']
7,0.010225310964543403,['一直']
408,0.010092514718250631,['逐步']
248,0.00973839139480324,['明确']
105,0.00960559514851047,['努力']
31,0.009561329733079545,['不足']
84,0.009517064317648621,['其实']
147,0.009340002655924926,['大力']
333,0.009340002655924926,['矛盾']
132,0.009295737240494002,['同样']
232,0.009162940994201231,['所有']
278,0.008985879332477536,['正在']
85,0.008543225178168298,['具体']
376,0.008498959762737374,['良好']
279,0.00845469434730645,['正常']
288,0.008189101854720906,['民营']
192,0.007834978531273516,['平衡']
282,0.007746447700411668,['正确']
213,0.007702182284980745,['必要']
138,0.007569386038687973,['困难']
370,0.007525120623257049,['自然']
318,0.007480855207826125,['由此']
249,0.007392324376964278,['显然']
38,0.007348058961533354,['严格']
409,0.007348058961533354,['逐渐']
402,0.00730379354610243,['连续']
371,0.007170997299809659,['自由']
83,0.007126731884378735,['关键']
119,0.007082466468947811,['反而']
115,0.007082466468947811,['及时']
337,0.006993935638085963,['确实']
45,0.006861139391793192,['主动']
240,0.006861139391793192,['新型']
397,0.006861139391793192,['过度']
158,0.006816873976362268,['始终']
171,0.006772608560931344,['宽松']
252,0.00672834314550042,['普遍']
295,0.006595546899207649,['深入']
390,0.006595546899207649,['贫困']
10,0.006551281483776725,['一般']
389,0.006551281483776725,['负面']
196,0.006507016068345801,['广泛']
436,0.00637421982205303,['高度']
394,0.00637421982205303,['迅速']
195,0.00637421982205303,['广大']
266,0.006285688991191182,['有序']
255,0.006241423575760258,['更为']
61,0.006241423575760258,['伟大']
349,0.006197158160329334,['简单']
229,0.006108627329467487,['成熟']
60,0.006108627329467487,['优质']
231,0.006064361914036563,['或许']
202,0.005975831083174715,['强大']
145,0.0059315656677437914,['复杂']
66,0.005887300252312868,['依然']
189,0.0057545040060200964,['平均']
413,0.0057102385905891725,['重新']
65,0.0057102385905891725,['依法']
325,0.005621707759727325,['相互']
250,0.005621707759727325,['显著']
89,0.005621707759727325,['再次']
4,0.005621707759727325,['一样']
127,0.0055331769288654775,['合法']
275,0.0054889115134345535,['极大']
95,0.0053561152671417825,['切实']
190,0.005223319020849011,['平稳']
15,0.005179053605418087,['不再']
271,0.005134788189987163,['有限']
123,0.0050905227745562396,['只是']
75,0.0050905227745562396,['先进']
286,0.005046257359125316,['毕竟']
265,0.005001991943694392,['有力']
179,0.004957726528263468,['就是']
440,0.004957726528263468,['高速']
242,0.004913461112832544,['无疑']
355,0.004913461112832544,['繁荣']
21,0.00486919569740162,['不得不']
52,0.004824930281970697,['仅仅']
346,0.004780664866539773,['突出']
296,0.004736399451108849,['深刻']
12,0.004736399451108849,['上述']
437,0.004647868620247001,['高效']
155,0.004603603204816077,['大规模']
365,0.004603603204816077,['美好']
64,0.004470806958523306,['低迷']
362,0.004470806958523306,['统一']
351,0.004470806958523306,['精准']
301,0.004470806958523306,['潜在']
80,0.004470806958523306,['公开']
28,0.004470806958523306,['不良']
375,0.004338010712230534,['至少']
35,0.004338010712230534,['专项']
183,0.004293745296799611,['尽快']
59,0.004249479881368687,['优秀']
218,0.004205214465937763,['恐怕']
114,0.004205214465937763,['原来']
330,0.004205214465937763,['真实']
251,0.004205214465937763,['普通']
107,0.004205214465937763,['协调']
338,0.004160949050506839,['科学']
358,0.004160949050506839,['经常']
