,support,itemsets
88,0.06040607711533601,['已经']
133,0.05756971552135696,['没有']
12,0.050240107837906146,['不断']
98,0.04467971580218484,['必须']
173,0.04316324524698812,['进一步']
130,0.03937206885899632,['比较']
20,0.037069280238142044,['主要']
188,0.03482265719340616,['非常']
135,0.03333426942626864,['特别']
138,0.02670673144429779,['甚至']
115,0.02634165519952821,['更加']
92,0.023252548513016374,['当然']
145,0.021286753348872475,['真正']
4,0.021118256620517285,['一旦']
187,0.02044426970709652,['难以']
166,0.019377123760846975,['越来越']
181,0.01934904097278778,['长期']
26,0.019208627032491786,['仍然']
76,0.018871633575781404,['实际上']
2,0.01861888848324862,['一定']
176,0.01859080569518942,['逐步']
93,0.018225729450419836,['往往']
81,0.018225729450419836,['尤其']
97,0.018141481086242243,['必然']
38,0.01760790811311747,['其实']
171,0.01741132859670308,['还是']
119,0.016596927742986323,['最终']
142,0.016035271981802355,['相对']
6,0.014153725181836052,['一直']
99,0.01404139402959926,['快速']
129,0.01401331124154006,['正在']
67,0.013535903844533684,['大幅']
37,0.01232834395798815,['共同']
179,0.011261198011738605,['重新']
177,0.011205032435620208,['逐渐']
139,0.01100845291920582,['由此']
143,0.010727625038613834,['相当']
64,0.010559128310258643,['大力']
59,0.010165969277429862,['同样']
170,0.010025555337133871,['过度']
161,0.009491982364009098,['自然']
193,0.0094638995759499,['高度']
114,0.009183071695357915,['更为']
52,0.008789912662529136,['反而']
82,0.008593333146114747,['就是']
141,0.008537167569996349,['相互']
164,0.008452919205818754,['至少']
191,0.008172091325226769,['首先']
83,0.008115925749108372,['就要']
56,0.008115925749108372,['只是']
66,0.007947429020753181,['大大']
9,0.007835097868516386,['不再']
68,0.007722766716279592,['大幅度']
58,0.007189193743154821,['同时']
16,0.0071611109550956216,['不要']
34,0.0071611109550956216,['依然']
41,0.006964531438681232,['几乎']
74,0.006908365862562835,['始终']
85,0.006880283074503637,['尽快']
194,0.006852200286444439,['高速']
25,0.006796034710326041,['仅仅']
10,0.006739869134207644,['不得不']
159,0.006459041253615659,['肯定']
61,0.006374792889438064,['基本上']
33,0.006374792889438064,['依法']
109,0.0063186273133196665,['日益']
40,0.006290544525260468,['再次']
116,0.006093965008846078,['曾经']
155,0.0059816338566092845,['经常']
168,0.005897385492431689,['较为']
125,0.005897385492431689,['本来']
42,0.0058131371282540934,['分别']
128,0.005756971552135696,['根本']
178,0.005672723187958101,['通常']
32,0.005616557611839703,['似乎']
49,0.0054761436715437106,['原来']
107,0.005448060883484512,['无疑']
94,0.005335729731247719,['很快']
131,0.005279564155129321,['毕竟']
172,0.005167233002892527,['还要']
21,0.005054901850655733,['也许']
