,support,itemsets
30,0.15044214487300095,['发展']
70,0.08161806208842898,['推动']
71,0.06077140169332079,['推进']
79,0.05836312323612418,['改革']
35,0.05569143932267168,['可以']
12,0.05516462841015993,['促进']
43,0.05505174035747883,['增长']
48,0.05392285983066792,['导致']
53,0.05253057384760113,['带来']
68,0.05226716839134525,['投资']
36,0.05098777046095955,['可能']
21,0.04161806208842898,['创新']
125,0.040714957666980245,['需要']
20,0.04015051740357479,['出现']
56,0.03958607714016933,['建设']
63,0.03909689557855127,['影响']
47,0.03785512699905927,['实现']
1,0.03698965192850423,['上市']
135,0.036688617121354655,"['发展', '推动']"
65,0.036425211665098774,['成为']
84,0.0348447789275635,['服务']
75,0.033527751646284104,['提高']
62,0.03300094073377234,['形成']
121,0.03213546566321731,['造成']
88,0.03194731890874882,['消费']
69,0.030667920978363124,['持续']
119,0.030667920978363124,['进行']
86,0.030630291627469428,['没有']
128,0.029952963311382877,"['促进', '发展']"
103,0.029576669802445908,['能够']
60,0.028748824082784574,['引导']
74,0.02784571966133584,['提升']
51,0.027770460959548448,['工作']
97,0.027243650047036688,['管理']
41,0.025362182502351834,['增加']
59,0.024684854186265287,['引发']
109,0.024571966133584196,['解决']
44,0.024158043273753527,['存在']
67,0.023555973659454374,['投入']
94,0.02306679209783631,['相关']
110,0.022878645343367827,['认为']
58,0.02284101599247413,['开放']
91,0.02242709313264346,['生产']
26,0.022163687676387583,['加快']
112,0.021599247412982126,['贸易']
76,0.02114769520225776,['支持']
72,0.020959548447789276,['提供']
101,0.020959548447789276,['继续']
111,0.02050799623706491,['调整']
31,0.020470366886171213,['发挥']
93,0.020206961429915335,['监管']
54,0.019943555973659453,['应该']
137,0.019567262464722485,"['发展', '改革']"
89,0.019153339604891816,['涉及']
129,0.019078080903104422,"['创新', '发展']"
32,0.01881467544684854,['发生']
136,0.01881467544684854,"['发展', '推进']"
46,0.01858889934148636,['实施']
92,0.018400752587017875,['生活']
25,0.018363123236124178,['加强']
118,0.01794920037629351,['进入']
11,0.01794920037629351,['供给']
2,0.017836312323612418,['上涨']
38,0.01779868297271872,['吸引']
142,0.017610536218250237,"['推进', '改革']"
17,0.017572906867356537,['具有']
45,0.01753527751646284,['完善']
28,0.017460018814675446,['升级']
55,0.01742238946378175,['建立']
9,0.01730950141110066,['使得']
40,0.01730950141110066,['坚持']
107,0.01730950141110066,['融资']
80,0.01727187206020696,['教育']
96,0.017121354656632174,['竞争']
37,0.017121354656632174,['合作']
34,0.016857949200376292,['变化']
127,0.016707431796801505,['预期']
8,0.01625587958607714,['作为']
73,0.01610536218250235,['提出']
52,0.016030103480714958,['带动']
57,0.016030103480714958,['开始']
99,0.01599247412982126,['经营']
66,0.015954844778927564,['扩大']
6,0.01576669802445908,['产生']
104,0.015540921919096895,['获得']
4,0.015503292568203198,['下降']
85,0.015465663217309501,['比如']
14,0.01535277516462841,['保持']
124,0.015239887111947318,['降低']
132,0.014901222953904045,"['发展', '实现']"
133,0.014863593603010348,"['发展', '建设']"
18,0.014863593603010348,['减少']
24,0.014750705550329257,['加大']
15,0.014524929444967074,['保障']
16,0.014487300094073377,['关注']
13,0.014412041392285984,['保护']
87,0.0141862652869238,['治理']
98,0.0141862652869238,['纳入']
61,0.013885230479774224,['引起']
29,0.013621825023518344,['参与']
81,0.01354656632173095,['无法']
64,0.013508936970837254,['得到']
108,0.013396048918156161,['表示']
120,0.013320790216368767,['选择']
50,0.013245531514581374,['就是']
115,0.012831608654750706,['转型']
123,0.01253057384760113,['采取']
113,0.01253057384760113,['起来']
95,0.012492944496707431,['研究']
10,0.012417685794920037,['使用']
5,0.012417685794920037,['交易']
116,0.012417685794920037,['达到']
7,0.012342427093132644,['优化']
90,0.012304797742238947,['深化']
22,0.01226716839134525,['创造']
114,0.012154280338664157,['超过']
77,0.01211665098777046,['改变']
27,0.012079021636876764,['包括']
139,0.01200376293508937,"['建设', '推进']"
3,0.011928504233301976,['下跌']
122,0.011928504233301976,['配置']
0,0.01189087488240828,['上升']
39,0.01185324553151458,['国有']
141,0.011777986829727187,"['推动', '改革']"
42,0.01174035747883349,['增强']
23,0.0116274694261524,['利用']
33,0.0116274694261524,['受到']
130,0.01147695202257761,"['创新', '推动']"
140,0.011401693320790217,"['开放', '改革']"
102,0.011401693320790217,['考虑']
49,0.01136406396989652,['就业']
19,0.01136406396989652,['出口']
117,0.011251175917215427,['还有']
126,0.011251175917215427,['面临']
83,0.01095014111006585,['有助于']
100,0.010874882408278457,['结合']
131,0.010799623706491063,"['发展', '增长']"
105,0.010799623706491063,['落实']
82,0.01072436500470367,['有利于']
78,0.010686735653809972,['改善']
138,0.010385700846660396,"['发展', '服务']"
106,0.010235183443085607,['融合']
134,0.010122295390404516,"['发展', '持续']"
