sentence,casual,math_word,effect-cause
非常高兴今天能够跟大家分享我关于汇率问题的一些看法，我的题目是“8•11汇改后中国的汇率政策和汇率体制改革”，还是从文件开始。,0,,{}
最近中央经济工作会议出了一个公报，关于汇率有这么一段表述，“要在增强汇率弹性的同时保持人民币汇率在合理均衡水平上的基本稳定”。,0,,{}
但是对于受过经济学训练的人，得逐字逐句去推敲它的意思到底是什么，我就试着给大家一起推敲一下。,1,但是-就,{'受过经济学训练':'逐字逐句推敲意思'}
第一个问题，增强汇率弹性是指允许人民币对美元汇率的中间价有较大变化还是指人民币对美元汇率的浮动区间将有所扩大？,0,,{}
增加汇率弹性可以有不同的理解，到底是指的什么？,0,,{}
第二个问题，目前的人民币汇率已经处在合理均衡水平上，因而要保持人民币汇率合理均衡水平上的稳定，还是现在人民币汇率还未处在合理均衡水平上，因而要先过渡到合理均衡水平，然后再保持人民币汇率在这个合理均衡水平上的基本稳定？,1,已经-因而-还是-因而-然后,{'人民币汇率处在合理均衡水平上':'保持人民币汇率的稳定','人民币汇率未处在合理均衡水平上':'过渡到合理均衡水平,保持人民币汇率的稳定'}
这是一个非常关键的问题，如果我们认为现在的人民币汇率就已经是处在合理均衡的水平上了，这是有特定的政策含义，如果你认为它还不是，我们还需要过渡到（合理均衡水平），那就是另外一种政策，含义非常不一样。,1,如果-这是，如果-那就,{'人民币汇率处在合理均衡水平上':'有特定的政策含义','它不是':'是另外一种政策'}
如果目前的汇率已经在合理均衡水平上，增强汇率弹性又是指什么意思？,0,,{}
是指允许汇率更大幅度地偏离这个合理均衡水平还是合理均衡水平是一种动态，随着时间的推移而变化，因而增加汇率弹性意味着官方决定的汇率应该更好地反映处于变化中的外汇市场供需关系。,1,因而~意味着,{'增加汇率弹性':'汇率反映外汇市场供需关系'}
官方所定的汇率是否要反映市场的供求？,0,,
市场的供求关系是让人民币贬值，你不想让它贬值就不断干预汇率就稳定了，这个稳定的汇率水平是合理均衡的吗？,1,不想-就-就,{'干预汇率':'汇率稳定,人民币不贬值'}
如果不是，那你又采取一种什么样的政策使你的官方确定的汇率能够反映随着时间推移而变化的市场供求关系。,0,,
这也是应该提出的问题。,0,,
到目前为止，几乎所有人都认为2017年人民币会对美元贬值，汇丰银行认为2017年年底人民币对美元的汇率会跌到7.25。,0,,
我们公报中所说的人民币汇率合理均衡水平到底指的是什么水平？,0,,
是指7、7.25、8还是什么？,0,,
这样的文件中它也不应该给你提示是多少，因为这会引发投机。,1,因为,{'不提示是多少':'会引发投机'}
也就是说政府可能不需要或者不应该或者不能够告诉你它心中所想的合理均衡水平是什么，但是脑子里面应该是有这个的。,0,,
如果这么考虑，这里面有一系列的后继政策。,1,如果,{'政府不能够告诉合理均衡水平':'有后继政策'}
总之，看了公报之后，我读出的信息，中国将继续延续2016年年初以来的汇率形成机制。,0,,
政府的汇率政策似乎不会有什么太大的变化，这样一种状况是否能够解决好我们目前所面临的在汇率问题上的挑战？,0,,
这是我们应该思考的。,0,,
作为经济学家更应该深入思考这个问题，而且要给政府提出自己的判断，帮助政府来解决这个问题。,1,作为-更-而且,{'作为经济学家':'应该深入思考,提出自己的判断,帮助政府解决问题'}
中国汇率制度的演变当人们问，中国的汇率制度是什么汇率制度的时候，我们一般习惯地说是有管理的浮动。,0,,
但是如果看IMF正式文件，有管理的浮动这一大类已经没有这种说法了，这是在2009年以前的说法，以后做了重新分类，把汇率制度分成三大类，一类硬钉住，一类软钉住，一类浮动。,0,,
每一大类里面又分成不同的类型，中国的汇率制度在IMF的文件中叫做类爬行钉住，爬行钉住大家都听说过，类爬行钉住就是类似爬行钉住的货币制度安排，并不是说你的货币制度是有管理的浮动，它说是类爬行钉住或者类爬行钉住安排。,0,,
世界上有多少国家采取类爬行钉住安排？,0,,
2014年12个国家，2015年一共19个国家，这19个国家一半国家你没听说过，两个国家你听说过，一个是瑞士，一个是阿根廷，剩下的国家海地、多米尼加、哈萨克斯坦、老挝等等，这是什么类型的国家，我不多说你也知道。,0,,
所有的发达国家瑞士除外都是浮动汇率制度，所有的发展中国家、重要的发展中国家，所有的亚洲发展中国家当然应该把中亚排出去，东亚的发展中国家都是浮动汇率制度。,0,,
中国是最不害怕汇率浮动的国家，因为你有大量的贸易顺差，大量的经常项目顺差，有世界上第二高的经济增长速度，有世界上最多的外汇储备，还有一个非常强有力的政府，但为什么这么害怕汇率浮动呢？,1,因为,{'有大量的贸易顺差，大量的经常项目顺差，有世界上第二高的经济增长速度，有世界上最多的外汇储备，有一个非常强有力的政府':'中国是最不害怕汇率浮动的国家'}
这是我自2003年以来百思不得其解的问题，到现在还不明白为什么。,0,,
在国际货币基金组织（IMF）的眼中，中国的汇率制度经过一些演变，按照它的说法，1997年亚洲金融危机到2005年的中国汇率制度称作传统的钉住，就是钉住美元，这是硬钉住里面的一种。,1,按照-就是,{'中国汇率制度称作传统的钉住':'钉住美元'}
后来我们在2005年7月21日跟美元脱钩了，此后我们的汇率制度就是爬行钉住美元。,1,后来-就是,{'在2005年7月21日跟美元脱钩':'爬行钉住美元'}
2008年8月到2010年6月，由于金融危机我们又重新钉住美元，但是由于我们钉住美元这样一种特殊的时期和特殊的动机，IMF将此归类为稳定安排。,1,由于-将,{'金融危机':'重新钉住美元,稳定安排'}
2010年6月之后，中国的汇率制度在IMF的分类里面就是类爬行安排。,0,,
2010年10月之后，人民币开始走向对美元升值的过程。,0,,
2015年8•11汇改，人民币对美元一下子贬值，从那之后人民币对美元在波动中不断贬值，这是目前的状况，现在差不多6.9左右。,1,{'2015年8•11汇改':'人民币对美元不断贬值'}
这里面大家需要注意什么？,0,,
人民币对美元的中间价先是升后来是贬，这段时间这条灰线是不变的是水平的，说明这段时间是钉住美元的，以后对美元是在变化的，而且这个变化遵循某种规则。,1,说明-以后,{'人民币对美元的中间价先升后贬':'钉住美元,美元是在变化'}
这个就是类爬行的特征之一，你必须是这样的叫类爬行，这是第一。,0,,
来源：演讲者PPT第二，它有浮动的区间。,0,,
看红线，它的区间不能太小，我们先是1%后来变成2%，这个也符合所谓类爬行的定义。,0,,
黑线是即期汇率，这个是在市场上不断波动的，大家可以看到这个即期汇率会被限制在红线里面，一旦即期汇率超出红线范围也就是超出浮动区间，政府就要干预，使你在区间之内浮动爬行。,1,一旦-就要,{'即期汇率超出红线范围':'政府干预'}
一方面灰线是在爬行，黑色的实际汇率大致沿着中间价不断浮动，浮动不能超过2%这个区间。,0,,
这个就是所谓的爬行钉住的基本特点。,0,,
什么是钉住货币篮子指数？,0,,
爬行钉住的是什么？,0,,
一开始我讲的是钉住美元。,0,,
类爬行钉住，可以钉住一篮子货币，并不一定非得钉住美元。,0,,
首先，什么是篮子货币？,0,,
是作为价值尺度用于衡量商品劳务金融产品包括货币价值的由不同数量的、不同种货币构成的货币单位。,0,,
这是我给篮子货币所做的定义。,0,,
人民币的价值是可以用美元来衡量的，有两种标价方法，直接来说1美元=6.2元人民币，这是大家所熟悉的间接标价法。,0,,
如果要问1元人民币等于多少美元，这叫直接标价法。,1,如果-这叫,{'1元人民币等于多少美元':'直接标价法'}
我们现在假设在某年某月某日美元对日元的汇率是1美元=100日元，这是一个给定的即期美元对日元的汇率。,0,,
用美元来衡量人民币，用间接标价法可以说6.2元=1美元。,0,,
那么1美元拆开，1美元=0.6美元+0.4美元，6.2元人民币=0.6美元+0.4美元，1美元=100日元，把日元代进来把美元换掉，就变成6.2元人民币=0.6美元+0.4×100日元，0.6、0.4成为权数，经过整理两边除以6.2，1人民币=0.097美元+6.45日元。,0,,
1人民币值多少钱？,0,,
1元人民币=0.1613美元，另外一种回答方法，1元人民币=0.097美元+6.45日元，这两种回答都是对的，第一种回答就是用美元来回答，第二种回答是由两种货币，而且这两种货币各自的数量是给定的，这样的话用美元度量人民币价值转换成用一篮子货币度量人民币价值。,1,这样的话,{'两种货币各自的数量是给定的':'美元度量人民币价值转换成用一篮子货币度量人民币价值'}
第二个环节，什么是钉住一篮子货币？,0,,
钉住篮子货币的意义，一旦钉住它了，无论美元和日元之间的汇率发生什么变化，1元人民币永远等于0.097美元+6.45日元。,1,一旦-无论,{'钉住它':'1元人民币永远等于0.097美元+6.45日元'}
你马上会知道，如果你是钉住一篮子货币就不能钉住某种特定的货币。,1,如果-就,{'钉住一篮子货币':'不能钉住特定的货币'}
如果假设一篮子就不能钉住美元，钉住美元就不能钉住一篮子，原因非常简单。,1,如果-就-就,{'一篮子':'不能钉住美元','钉住美元':'不能钉住一篮子'}
举个例子，当1美元=100日元时，1元人民币=0.097美元+6.45日元，可以算出来1元人民币=0.1613美元。,1,当-可以,{'1美元=100日元时':'算出来1元人民币=0.1613美元'}
美元和日元的汇率是可以变化的，现在变了1美元=140日元，这时候你钉住同样是这一篮子，等于的美元数不一样了，现在变成0.1431美元，0.1613变成0.1431，它的含义是什么？,0,,
