sentence,casual,math_word,effect-cause
一、出口增长明显放慢虽然国际金融市场的相互影响和各国股票市场价格下跌的相互传染是显著的，但是，实际上，国际贸易仍然是国际经济活动在国家之间传播的主要渠道。,0,,{}
统计资料表明，从今年的第二季度起，我国主要贸易伙伴的进出口增长率开始显著下降，其中东亚新兴工业化地区一些经济体的进出口已连续几个月出现负增长。,0,,{}
“9.11”后，随着全球经济进入衰退，北美、欧洲和东亚地区的许多国家和地区的进口需求将会进一步下降。,1,随着-将,{'全球经济进入衰退':'北美、欧洲和东亚地区的许多国家和地区的进口需求将会进一步下降'}
而目前我国对这些国家和地区的出口占我国出口总额的83.6%左右。,0,,
其中，美国占21.5%,日本16.6%,欧盟15.0%,亚洲新兴工业化地区为30.5%。,0,,
因此，这些国家和地区进口需求的下降必然导致我国的出口增长进一步放慢。,1,因此，导致,{'这些国家和地区进口需求的下降必然导致我国的出口增长进一步放慢','进口需求的下降':'出口增长进一步放慢'}
根据联合国的预测，世界商品贸易量预计2001年将是零增长，比“9.11”恐怖袭击事件前的预测下调了6个百分点。,1,,{'世界商品贸易量预计2001年将是零增长':'比“9.11”恐怖袭击事件前的预测下调了6个百分点'}
2002年年中可能开始恢复性增长，全年可望增长5%左右。,1,可望,{'2002年年中可能开始恢复性增长':'全年可望增长5%左右'}
以联合国对世界经济和各国贸易增长的预测为基础，根据我国贸易与世界贸易之间的相关关系，可以计算出“9.11”恐怖袭击事件将使我国今年的出口增长率下降约2个百分点，2002年的增长率下降约6个百分点。,1,根据-可以，将使,{'根据我国贸易与世界贸易之间的相关关系':'可以计算出“9.11”恐怖袭击事件将使我国今年的出口增长率下降约2个百分点':'9.11”恐怖袭击事件':'我国今年的出口增长率下降，约2个百分点,2002年的增长率下降约6个百分点'}
同样，因受“9.11”事件的影响，我国的服务贸易，特别是旅游业的收入增长率也将显著下降。,1,因受~影响,{'“9.11”事件的影响':'我国的服务贸易，特别是旅游业的收入增长率也将显著下降'}
二、通货紧缩压力上升因受1997年东亚金融危机的影响，1998-1999年，我国连续两年出现通货紧缩的某些特征，物价总体水平持续下降。,1,因受~影响,{'1997年东亚金融危机':'通货紧缩压力上升','通货紧缩压力上升':'出现通货紧缩','出现通货紧缩':'物价水平下降'}
GDP平减指数1998年比1997年下降2.4%，1999年又比1998年下跌2.3%。,0,,
同期，居民消费价格指数分别比上一年下降0.8%和1.4%；,0,,
消费品零售价格指数分别下跌2.6%和3.0%。,0,,
在扩大内需方针指引下，2000年通货紧缩得到初步控制，物价总体水平开始回升，GDP平减指数比1999年上升0.9%，其中固定资产投资价格指数上升1.1%,消费者价格指数上升0.4%。,1,在~指引下,{'扩大内需方针':'通货紧缩得到初步控制','通货紧缩得到初步控制':'物价总体水平开始回升'}
但是，消费品零售价格指数却继续下跌了1.5%。,0,,
积极财政政策刺激国内需求强劲回升，是物价总体水平回升的主要原因。,1,刺激，是~的原因,{'积极财政政策刺激':'国内需求强劲回升','国内需求强劲回升':'物价总体水平回升'}
国际市场石油价格大幅度上升也是我国物价回升的一个重要原因。,1,是~重要原因,{'国际市场石油价格大幅度上升':'我国物价回升'}
今年1-8月，我国居民消费价格除2月与去年同期持平外，其他各月份均比上年同期有所上升，累计上升1.2%。,0,,
但是，9月份居民消费价格指数又开始回落。,0,,
今年以来，消费品零售价格，除4、5两个月微升0.1%外，其他月份均比去年同期有所下降，1-9月累计下降了0.6%，其中9月下跌1.3%。,0,,
工业品出厂价格指数自4月开始逐月下跌，9月比去年同期下跌了1.8%。,0,,
数据分析表明，实际上，在“9.11”之前我国通货紧缩的压力已开始上升。,0,,
“9.11”后，随着全球经济进入衰退，需求下降，国际市场石油和许多其他原材料价格明显下跌。,1,随着,{'全球经济进入衰退':'需求下降','需求下降':'国际市场石油和许多其他原材料价格下跌'}
据有关统计，欧佩克原油价格在“9.11”后已连续7周下跌，11月2日已跌破18美元/桶。,0,,
10月份欧佩克原油的月平均价格为19.64美元/桶，比9月下跌4.65美元，跌幅为19.1%。,0,,
“9.11”以来，其他商品价格也下降了6.5%左右。,0,,
根据世界银行的最新预测，今年第四季度，国际市场原油价格比三季度下降16.8%，其他非能源产品价格下跌5.5%。,0,,
预计今年全年原油价格将比去年下降11.3%；,0,,
工业制成品出口价格下跌4.6%。,0,,
明年原油价格继续下跌16%左右，工业制成品价格开始缓慢的恢复性增长。,1,继续-开始,{'明年原油价格继续下跌16%左右':'工业制成品价格开始缓慢的恢复性增长'}
统计分析表明，我国国内商品价格变动与国际市场价格走势高度相关，因此，国际市场价格下跌将会加大我国通货紧缩的压力。,1,因此-将会,{'国际市场价格下跌':'加大我国通货紧缩的压力'}
更重要的是，由于出口增长放缓、国内消费增长不快，国内供给大于需求的矛盾将会恶化，因此今明两年我国通货紧缩的压力将会上升。,1,由于-因此,{'出口增长放缓,国内消费增长不快':'国内供给大于需求恶化':'国内供给大于需求恶化':'通货紧缩的压力将会上升'}
三、消费者信心下降调查数据表明，在“9.11”恐怖袭击事件之前，许多国家和地区的消费者信心已经开始下降。,0,,
“9.11”恐怖袭击事件进一步加剧了消费者信心下降的趋势。,1,进一步加剧,{'9.11”恐怖袭击事件':'消费者信心下降'}
“9.11”事件发生之后，几乎所有的股票市场大幅度跌价也间接地证明了世界范围内居民信心均急剧下降。,1,证明,{'9.11事件':'股票市场大幅度跌价','股票市场大幅度跌价':'居民信心急剧下降'}
消费者信心的下降不仅仅是由于9月11日那天发生的事件造成的心理冲击所引起的，也是由于人们对今后国际社会采取的行动及其反作用所带来的不确定性的担心引起的。,1,造成，带来的，不仅仅~所引起的-也是由于,{'911事件造成的心理冲击':'消费者的信心下降','国际社会采取的行动':'人们不确定性的担心','人们不确定性的担心':'消费者的信心下降'}
发现有人感染了炭沮病后，美国人更有风声鹤唳，人人自危之感。,1,发现~后,{'人感染炭沮病':'美国人更有人人自危之感'}
这种恐惧与不安全感也将影响我国消费者的信心。,0,,
由于“9.11”后我国主要贸易伙伴的经济出现衰退，导致世界市场对我国产品的需求下降，这将使我国一些企业开工率下降，下岗人数增加。,1,由于-导致-将使,{'贸易伙伴的经济出现衰退':'市场对产品的需求下降','市场对产品的需求下降':'企业开工率下降','企业开工率下降':'下岗人数增加'}
而失业人数的增加必然导致消费者信心进一步下降。,1,导致,{'失业人数的增加':'消费者信心进一步下降'}
有关统计数据表明，8月份我国消费者信心指数为97.5，比7月份下降了0.6个百分点，9月份又比8月份进一步下降。,0,,
