sentence,casual,math_word,effect-cause
2015年“8.11”汇改，人民币汇率市场化程度进一步提高，但改革后我国资本外流增加，人民币贬值压力加大。,0,,
当前资本外流，有国内经济偏弱、国际美元走强等基本面的原因，也有市场贬值预期的叠加影响。,1,有~的原因,{'国内经济减弱,国际美元走强,市场贬值':'资本外流'}
应对资本外流冲击，必须在汇率、储备和管制三大外汇政策工具中做出选择和搭配，需要多管齐下、标本兼治。,0,,
一、我国自2014年二季度起资本持续净流出2014年二季度到2015年底，我国国际收支口径的经常项目顺差累计5058亿美元，资本项目逆差（含净误差与遗漏）累计达8565亿美元；,0,,
剔除汇率、资产价格变动的估值影响后，外汇储备资产减少3493亿美元，外汇储备余额减少6177亿美元，估值影响占到外汇储备降幅的43%。,0,,
进入新的一年，头两个月进出口顺差958亿美元，（反映境内外汇市场供求状况的）银行即远期结售汇逆差合计1084亿美元，央行外汇占款减少9229亿元，外汇储备余额下降1281亿美元，显示我国还在延续“经常项目顺差、资本项目逆差”的发展态势。,0,,
“藏汇于民”和“债务偿还”是我国资本持续净流出的主要渠道。,1,,{'藏汇于民':'资本持续净流出','债务偿还':'资本持续净流出'}
根据最新的国际收支正式数据，2014年二季度至2015年三季度，我国资本项下（不含净误差与遗漏，下同）累计净流出3304亿美元，其中，资产项下（即对外投资，包括对外直接投资、对外证券投资如QDII/RQDII和对外其他投资如对外放款等）资本净流出达5800亿美元；,0,,
负债项下（即外来投资，包括外商直接投资、外来证券投资如QFII/RQFII和外来其他投资如外债等）资本净流入达2495亿美元，其中债务性资本净流出（即一般意义上的偿还外债）达1783亿美元，只是因为外来直接投资和股票投资依然大量净流入，负债项下继续呈现顺差。,1,因为,{'外来直接投资大量净流入':'负债项下呈现顺差','股票投资大量净流入':'负债项下呈现顺差'}
国际收支呈现“经常项目顺差、资本项目逆差”，于我国是一种合意的平衡结构，有助于更好利用两个市场两种资源，有助于提高宏观调控的独立性。,1,有助于,{'国际收支经常项目顺差,国际收支资本项目逆差':'国际收支是平衡结构','国际收支是平衡结构':'利用两个市场两种资源','国际收支是平衡结构':'提高宏观调控的独立性'}
无论是外汇资产由国家集中持有转为民间分散持有的“藏汇于民”，还是降低杠杆、减少汇率敞口的“债务偿还”，都符合国家改革和调控的方向。,0,,
境内机构和个人根据市场变化，调整资产负债币种结构的顺周期行为不等于资本外逃，其最终控制权仍在境内主体的手中。,0,,
我国基础国际收支状况表现强劲，同期经常项目与直接投资顺差合计为7676亿美元，较前六个季度增长43%，市场主体有序的资产多元化配置和债务去杠杆需求均有保障。,0,,
二、基本面因素与单边贬值预期叠加加速我国资本外流导致我国当前资本外流的基本面原因，既有来自于国内经济下行的内部冲击，也有来自于国际美元走强的外部冲击。,1,导致~的原因，~的冲击,{'国内经济下行,国际美元走强':'基本面因素与单边贬值预期叠加','基本面因素与单边贬值预期叠加':'加速资本外流'}
国内经济下行，一是造成投资收益降低，外来投资的风险溢价补偿上升，2014年9月就因为公布的8月份经济数据欠佳，导致境内外汇率差价跳升；,1,造成，因为-导致,{'国内经济下行':'投资收益降低','国内经济下行':'外来投资的风险溢价补偿上升','国内经济下行':'经济数据欠佳','经济数据欠佳':'境内外汇率差价跳升'}
二是国内财政金融风险释放，国际投资者对中国市场的投资风险重估，2015年6、7月份的A股市场异动进一步加剧了这方面的担忧；,1,进一步加剧,{'财政金融的风险释放':'投资风险重估','A股市场异动':'投资风险重估'}
三是稳增长政策力度加大，改变本外币利差和人民币供求关系，2014年11月央行降准降息就触发了从当年底到来年初银行间市场人民币兑美元汇率的连续跌停。,1,触发,{'稳增长政策力度加大':'改变本外币利差和人民币供求关系','央行降准降息':'人民币兑美元汇率跌停'}
国际美元走强，一是人民币被动升值，带来中国出口竞争力受损，人民币汇率高估、国内通货紧缩的疑虑；,1,带来,{'人民币被动升值':'出口竞争力受损,人民币汇率高估,国内通货紧缩','出口竞争力受损,人民币汇率高估,国内通货紧缩':'美元走强'}
二是美元加息和升值的预期，改变利差交易的条件，刺激国内企业加速偿还美元债务；,1,刺激,{'美元加息和升值':'改变利差交易的条件','改变利差交易的条件':'国内企业加速偿还美元债务','国内企业加速偿还美元债务':'美元走强'}
三是市场对美元升值周期经常伴随着新兴市场国际收支危机的解读，引发对人民币汇率贬值的担心。,1,引发,{'新兴市场国际收支危机':'担心人民币汇率贬值','担心人民币汇率贬值':'美元走强'}
2015年3月份，在美元指数强势冲击100的背景下，国内企业出现了大量预防性购汇，当月银行即远期结售汇逆差达到777亿美元。,1,在~背景下，即,{'2015年3月份，美元指数强势冲击100':'国内企业出现大量购汇','国内企业出现大量购汇':'远期结售汇逆差达到777亿美元'}
3月下中旬以后，随着美元汇率技术性回调，加之国内重申汇率维稳基调，二季度银行即远期结售汇逆差降至326亿美元，远低于一季度1200亿美元的规模。,1,随着-加之，即,{'美元汇率技术性回调,国内重申汇率维稳基调':'远期结售汇逆差降至326亿美元'}
“8.11”汇改，优化人民币兑美元汇率中间价报价机制后，由于市场的不适应、沟通的不到位，造成市场情绪剧烈波动，人民币汇率单边贬值预期骤然升温。,1,~后，由于-造成,{'优化人民币兑美元汇率中间价报价机制':'市场不适应,沟通不到位','市场不适应,沟通不到位':'市场情绪剧烈波动,人民币汇率单边贬值预期骤然升温'}
2015年三季度，资产项下净流出674亿美元，负债项下净流出817亿美元，资本项下净流出合计1491亿美元，外汇储备资产减少1606亿美元。,0,,
本来，内外部基本面因素导致的资本外流，应该已经在资本项目由前期大量顺差转为逆差中得到了体现。,0,,
现在因为市场一致性预期，造成了集中购汇的局面。,1,因为-造成,{'市场一致性预期':'集中购汇'}
反过来，外汇储备下降、资本管制收紧，又进一步加剧了贬值预期，刺激了更多的恐慌性购汇。,1,进一步加剧，刺激,{'外汇储备下降,资本管制收紧':'加剧贬值预期','加剧贬值预期':'恐慌性购汇'}
资本持续外流，使我国有可能陷入贬值预期自我强化、自我实现的恶性循环，短期看会造成市场价格失灵，长期看会积累汇率超调压力。,1,使，短期看，长期看,{'资本持续外流':'陷入贬值预期恶性循环','资本持续外流':'造成市场价格失灵','资本持续外流':'积累汇率超调压力'}
资本集中流出，将影响国内经济金融稳定，触发系统性风险。,1,将影响，触发,{'资本持续外流':'国内经济金融稳定','资本持续外流':'触发系统性风险'}
对此，不能掉以轻心。,0,,
三、应对资本流出的“不可能三角”众所周知，开放经济有一个“不可能三角”（impossibletrinity）或者“三元悖论”（trilemma），即本币汇率稳定、货币政策独立和资本自由流动只能够三者取其二。,0,,
我国香港特区最为典型，因为采取联系汇率制度，在保持金融市场开放的同时，港币利率就基本跟随美元。,1,因为,{'采取联系汇率制度','保持金融市场开放,港币利率跟随美元'}
应对资本外流也存在一个“不可能三角”。,0,,
从国际经验看，应对资本外流不外乎汇率、储备和管制三种外汇政策（currencypolicy）工具。,0,,
前者负责价格出清，后二者负责数量出清。,0,,
既想汇率不跌，又想储备不降，还想管制不用，即汇率稳定、储备增加、金融开放三个目标想同时实现，也是不可能的。,0,,
根据“丁伯根法则”，实现某个政策目标，需要不少于一个政策工具。,1,实现-需要,{'需要不少于一个政策工具':'实现政策目标'}
在前述三个应对资本外流的工具中，如果想守汇率目标，就必须要牺牲增储备和/或不管制的目标；,1,如果想-就必须,{'牺牲增储备,牺牲不管制的目标':'守汇率目标'}
如果想守储备目标，就必须要牺牲稳汇率和/或不管制的目标；,1,如果想-就必须,{'牺牲稳汇率,牺牲不管制的目标':'守储备目标'}
如果想守开放（即继续推进货币可兑换和国际化）目标，就必须要牺牲稳汇率和/或增储备的目标。,1,如果想-就必须,{'牺牲稳汇率,牺牲增储备':'守开放'}
对于汇率稳定、储备增加和金融开放三个目标，究竟哪个是处于政策优先级别，需要早做决断，以便对于汇率、储备、管制工具的运用尽早谋划。,1,以便,{'早做决断':'运用尽早谋划'}
四、没有十全十美的人民币汇率解决方案人民币汇率不论贬还是不贬，以及怎么调整，均各有利弊。,0,,
而做任何政策选择，都意味着放弃了其他选择可能带来的好处，事前难以做出准确的利弊权衡。,1,意味着,{'做政策选择':'放弃其他选择的好处'}
而一旦决定了，决策者就必须承担相应后果，因此，不得不十分小心行事。,1,一旦-就，因此，{'一旦决定':'决策者承担后果','决策者承担后果':'小心行事'}
不像建议者，说对了，是自己的功劳，说错了，就事不关己。,0,,
例如，现在还有谁会站出来说，当年自己曾经在美联储实施量化宽松时，断言美元资产缩水，建议官方减少美元外汇储备呢？,0,,
况且，任何决策都是要在各种约束条件下进行的，不能天真地以为相关部门就可以想做什么就做什么，想怎么干就怎么干。,0,,
更为关键的是，对于中国这样一个大型开放经济体来讲，汇率政策是次要政策，其影响有限。,0,,
