sentence,casual,math_word,effect-cause
电视论坛主持人：,0,,
电视机前的观众朋友们，现场的来宾大家好，欢迎参加我们今天的论坛节目，国务院发展研究中心，经济形势分析课题组呢，日前研究提出，近期我国的经济运行呈现出五大具有中长期意义的增长的政策推动为主转向了政策与市场共同推动这样一个新的趋势，与此同时，我们的经济生活中也暴露出一些新的问题，比如说通货紧缩的势头有所抬头，另外呢，收入差距扩大化这个趋势也比较明显的显现，那么经济生活中的这些新趋势，新问题，新情况可以说是大家所关心的，它是如何产生的，并且怎么会影响到我们的未来，今天我们的论坛就邀请到了国家统计局的副局长，著名的经济学家邱晓华先生，他主讲的题目就是“当前的经济势点评析与发展趋势的展望”，下面就让我们用热烈的掌声欢迎今天的论坛主讲邱晓华先生登上讲坛。,0,,
邱晓华:,0,,
大家早上好，很高兴能到美丽的城市——大连，有这个难得机会来与大家，就当前的一些经济问题作讨论。,0,,
今天，我想先用一段时间，给大家谈一谈我对当前问题的一些看法，然后很乐意就大家关心的问题做个解答。,0,,
首先，第一个问题是为什么我们要用发国债的办法，来刺激经济的增长？,0,,
当前，大家很关心特别国债这样一个政策。,0,,
第二，当前我们经济发展的特征，呈现出一个什么样的变化。,0,,
第三，就当前大家关心的农民问题做一个讨论。,0,,
第四，就当前大家关心失业、下岗的问题，也发表一下我的一些想法。,0,,
如果有时间，再就收入分配问题，加入世贸组织可能带来的影响问题，谈一些看法。,0,,
如果还有时间，就未来中国经济的走向也给大家做个介绍。,0,,
那么第一个问题，为什么我们要用特别国债的办法来刺激经济的增长，这样一个政策还能持续多久。,1,刺激,{'用特别国债的办法':'刺激经济的增长'}
大家知道，在国民经济发展中，宏观政策一般是与市场的作用相互配合，当市场的作用受到一定的限制的时候，政府往往会利用自己对经济资源的掌握，对政策制定的操作来影响，来弥补市场的不足，或者是提高或充实市场的功能。,0,,
同样当市场作用发挥的过分的时候，政府也会用一些手段，来限制市场的一些作用。,1,当~时候,{'过分发挥市场作用':'政府限制市场作用'}
我们回顾一下，在国家经济发展的过程中间，长期以来更多是依赖于计划经济的体制，更多的是政府在经济生活中说了算，1978年以前，在相当长的时间里，我们国家的经济，主要是由政府在起主导作用。,0,,
那个时候，政府掌握着国家几乎所有的经济资源和支配这个资源的权力，而企业、百姓对资源的掌握，对资源的支配，在整个经济生活中，是微不足道的。,0,,
在那个阶段，政府更多的是起经济的发动机的作用，它决定企业的生产，决定企业的销售，决定企业的投资，也决定着每个中国百姓的日常的生活和他的工作。,0,,
比如说粮票、布票、购物券。,0,,
就决定了人们的日常的一切的生活，同样一纸工作分配的调令，就决定了人的一生在哪个岗位里。,0,,
这个体制在相当长的时间，是起着积极的作用。,0,,
在一个生产力水平相对比较低下，社会经济关系，相对比较简单的环境下，这种体制比较好的在最短的时间里，用最快的速度动员了全社会的资源，来建立和发展国民经济。,0,,
但这个体制最大的弊端，就是限制了微观的活力，也就是企业不用为自己的生产经营去操心，个人也不用为自己的未来和现在去有什么打算。,1,导致,{'实行旧体制':'限制微观的活力'}
